Title,groupurl,category,pay_labels
合言葉は、れっつ！らびらび！,劇団名kusukusu’srabo,https://kan-geki.com/streaming/play/233,"カテゴリーファンタジー,キッズ・ファミリー,ダンス・舞踏・パフォーマンス,",有料
めるてぃ・すのう,劇団名星屑企画,https://kan-geki.com/streaming/play/234,"カテゴリーファンタジー,ダンス・舞踏・パフォーマンス,",有料
金色夜叉オルタナティブ,劇団名劇団レトルト内閣,https://kan-geki.com/streaming/play/235,"カテゴリー時代劇（歴史劇）,恋愛,ダンス・舞踏・パフォーマンス,",有料
猿とドレス,劇団名劇団レトルト内閣,https://kan-geki.com/streaming/play/236,"カテゴリーミステリー・サスペンス,ダンス・舞踏・パフォーマンス,",有料
さらばアイドル、君の放つ光線ゆえに,劇団名劇団レトルト内閣,https://kan-geki.com/streaming/play/237,"カテゴリーホラー・スリラー,ダンス・舞踏・パフォーマンス,",有料
プロペラとスカーフ,劇団名アトリエ・センターフォワード,https://kan-geki.com/streaming/play/238,"カテゴリードラマ,時代劇（歴史劇）,",有料
桜×心中 -再炎-,劇団名ブラック★タイツ,https://kan-geki.com/streaming/play/239,"カテゴリーファンタジー,恋愛,ミュージカル,",有料
二時間に及ぶ交渉の末,劇団名匿名劇壇,https://kan-geki.com/streaming/play/240,"カテゴリーコメディ,その他,",有料
yellow sunrise～それでもボクはココにいる～,劇団名星屑企画,https://kan-geki.com/streaming/play/241,"カテゴリードラマ,ダンス・舞踏・パフォーマンス,",有料
TOKYOてやんでぃ,劇団名うわの空・藤志郎一座,https://kan-geki.com/streaming/play/242,"カテゴリードラマ,コメディ,",有料
泥女,劇団名黄金山アタック,https://kan-geki.com/streaming/play/243,"カテゴリーファンタジー,不条理・アングラ,",有料
鼠,劇団名モンゴルズシアターカンパニー,https://kan-geki.com/streaming/play/244,"カテゴリーホラー・スリラー,",有料
ただいま,劇団名うわの空・藤志郎一座,https://kan-geki.com/streaming/play/245,"カテゴリードラマ,",有料
どこでもない場所,劇団名うわの空・藤志郎一座,https://kan-geki.com/streaming/play/246,"カテゴリードラマ,",有料
12人はご機嫌ななめ,劇団名うわの空・藤志郎一座,https://kan-geki.com/streaming/play/247,"カテゴリードラマ,コメディ,",有料
さらば愛しきHAPPYEND．,劇団名東京サムライガンズ,https://kan-geki.com/streaming/play/248,"カテゴリーコメディ,",有料
嗚呼素晴らしきサラリィ人生,劇団名東京サムライガンズ,https://kan-geki.com/streaming/play/249,"カテゴリーコメディ,",有料
MATCH,劇団名ステージタイガー,https://kan-geki.com/streaming/play/251,"カテゴリー時代劇（歴史劇）,",有料
超☆恋愛小説～ラブソングはいりませんか？～,劇団名ステージタイガー,https://kan-geki.com/streaming/play/253,"カテゴリーファンタジー,",有料
