Title,Author,Playtime,Male Count,Female Count
鯨よ！私の手に乗れ,渡辺えり,90～120分,5,15
『愛した日々に悔いはない　Kiss today goodbye.』,菅野彰,40～60分,1,0
『エデンの東のそのまた東』,菅野彰,20～40分,1,1
ポプコーンの降る街,み群杏子,60～90分,3,2
パセリの木,み群杏子,60～90分,5,3
knob,夏井孝裕,60～90分,5,2
青,夏井孝裕,60～90分,7,3
たま、ゆらら,千葉研之,2時間～3時間,4,6
30才になった少年Ａ,鮒田直也,90～120分,5,5
夜明け前、私たちは立ち上がる。,鮒田直也,90～120分,6,7
フライングチェック,四夜原茂,60～90分,5,9
黄昏ボンド,四夜原茂,40～60分,3,4
農園ぱらだいす　～愛しのアマゾネス～,大森匂子,60～90分,3,9
いびしない愛,竹田モモコ,90～120分,3,2
二十一時、宝来館,竹田モモコ,40～60分,0,3
ステディ,高木登,40～60分,2,2
「ヒーロー☆マイ・ダーリン」,品川浩幸,90～120分,12,10
薔薇のリース,森本洵司,2時間～3時間,9,8
わたしはまだ踊らない,加藤真史,40～60分,2,2
在西安青年,加藤真史,20～40分,6,9
ぬけがら,佃典彦,2時間～3時間,7,4
朝顔,佃典彦,60～90分,2,1
ケプラー・あこがれの星海航路,篠原久美子,2時間～3時間,99,9
ひとよ一夜に１８片,樋口美友喜,60～90分,4,5
凜然グッドバイ,樋口ミユ,60～90分,1,2
カナリア,黒岩力也,60～90分,2,2
StartingOver,宮本星美,40～60分,0,99
修羅シュシュシュ－賢治先生の教室 －,高谷信之,2時間～3時間,8,9
風と雲と魂と―シベリア鉄道の晶子―,高谷信之,2時間～3時間,99,99
明るい表通りで-On The Sunny Side Of The Street-,三谷智子,90～120分,7,5
No Regret No Life　-後悔なき航海なし-,三谷智子,60～90分,3,6
サカシマ,斜田章大,90～120分,3,4
小説家の檻,斜田章大,90～120分,4,3
『戦国散華　真田幸村～十勇士外伝～』,美咲蘭,90～120分,15,15
コロナ　パラドックス,井上好恵,20～40分,0,3
蒟蒻ルンバ,校倉元,90～120分,2,7
人の気も知らないで,横山拓也,40～60分,0,3
仮面夫婦の鑑,横山拓也,40～60分,1,1
チクロ育ち,下川おかし,60～90分,2,4
うつくしい生活,渡山博崇,90～120分,1,1
タンタジールの死,横田宇雄,40～60分,3,1
縛られたプロメーテウス,横田宇雄,60～90分,5,3
魔法処女★えるざ（３０）,坂本鈴,60～90分,3,6
モスクワ,羽原大介,90～120分,12,6
化蝶譚,野中友博,90～120分,6,5
御蚕様,野中友博,90～120分,3,5
ハオト,小野寺丈,90～120分,15,3
騙されざる者たち,小野寺丈,90～120分,5,2
パセリ農家の悲願,阿部慎一郎,20～40分,4,3
シュールストレミング,阿部慎一郎,90～120分,7,5
GRADUATION,宮本星美,40～60分,0,99
留鳥の根,稲田真理,90～120分,3,2
滲む山,稲田真理,40～60分,3,3
先生の暗いロッカー,田坂哲郎,60～90分,3,4
虚空,太田衣緒,90～120分,8,9
石橋の伝説　（前編　肥後石工水口橋別離　本編　大川心中物語）,岡山晴彦,3時間以上,99,5
モジョ×コン〜Mojo complex〜,井戸乃くらぽー,60～90分,7,6
綺羅の鼓,岡山晴彦,90～120分,3,4
マチクイの諷,福田修志,90～120分,4,5
けしてきえないひ,福田修志,60～90分,3,3
丘の上でこう言った,西瓜すいか,60～90分,3,3
父との夏,高橋いさを,90～120分,3,2
満月に躍る,塩澤剛史,90～120分,6,8
夕暮れラプソディ,塩澤剛史,90～120分,6,6
はたらくおとこ ,長塚圭史,2時間～3時間,8,1
荒野に立つ,長塚圭史,2時間～3時間,6,9
もやしの唄,小川未玲,90～120分,4,3
ご馳走,秋之桜子,90～120分,7,6
メッセンジャー,佐野和敏,40～60分,4,6
葉子,金塚悦子,90～120分,5,4
フェアリーテールにようこそ,ルーシー・ラブグッドウィル,60～90分,0,0
face to face,ルーシー・ラブグッドウィル,40～60分,3,4
リモ女演劇部☆活動中！,入江おろぱ,60～90分,0,9
明日の遠まわり,岡部尚子,90～120分,5,3
Twenty-eight,入江おろぱ,60～90分,5,6
遠くの花火,岡部尚子,90～120分,5,2
春の遺伝子,河合穂高,90～120分,0,0
明星　与謝野鉄幹・晶子の道行き,竹内一郎,90～120分,7,8
沖縄の火種ー戦果アギヤーの1947年ー,竹内一郎,90～120分,10,7
レバア,秋之桜子,90～120分,5,6
お正月,わかぎゑふ,90～120分,15,13
一郎ちゃんがいく,わかぎゑふ,90～120分,11,1
ナイト・ウィズ・キャバレット,西史夏,90～120分,1,1
so bad year,永山智行,60～90分,1,2
トリオ,永山智行,90～120分,1,4
海繭の仔,河合穂高,60～90分,2,3
ドリーム・ゴースト・マザー,いづみかほる,40～60分,3,2
星砂たちの詩,いづみかほる,40～60分,9,3
Reconquista,クワハラ―ノ・チュースキー,90～120分,3,4
